tier,concept,repo_path_or_url,title,date,words,proposed_page,publishability,why_it_matters
0,W1 W2 W3 W4 PST founding,team/humans/dinis_cruz/briefs/02/14/v0.3.2__briefs__wardley-maps-in-sgraph-project.md,Wardley Maps in the SGraph Send Project,2026-02-14,1656,/patterns/pst/,clean,"THE FOUNDING BRIEF. PST renamed to Explorer/Villager/Town Planner, the role-distribution tables, the theft, the 13-component evolution map, and the Town Planner deferral that was reversed a week later."
0,W5 W6 W21 W22 maps-as-graphs,team/roles/cartographer/REFERENCE__from-issues-fs.md,The Cartographer Role: Situational Awareness Through Maps,2026-02-07,4806,/method/maps-are-graphs/,clean,"The deepest theory in the corpus and it PREDATES the SG/Send application. 'a Wardley Map is not a separate artifact from the graph. It is a graph with positional metadata.' Also configurable axes, doctrine, gameplay, OWM interchange."
0,"W7 W12 custom axes, broken middle",team/humans/dinis_cruz/briefs/07/28/mvp-and-field-demo/v0.33.53__strategy-brief__sg-send-wardley-map-of-the-airgapped-register-custom-evolution-axes-broken-middle-shape.md,Mapping The Air Gap: A Wardley Map Where The Ends Are Solved And The Middle Is Manual,2026-07-28,2956,/method/custom-axes/,clean,"THE METHODOLOGICAL PEAK. The evolution-vs-maturity rule, with sources cited. 'you cannot map a gap, because a gap has no evolution'. 'the ends are solved. the middle is people.'"
0,W8 de-commoditisation,team/humans/dinis_cruz/briefs/05/17/v0.27.55__article__de-commoditising-the-commodity (1).md,De-Commoditising The Commodity: When Attrition Hides Inside The Cloud You Are Using,2026-05-17,2950,/method/de-commoditisation/,clean,"The first explicit extension of doctrine, and named as such. 'a thing can be commoditised at one phase of evolution while still being meaningfully custom-built at the next phase'."
0,W13 W13b W9 W31 Mermaid,team/humans/dinis_cruz/briefs/05/24/sg-send-thread/v0.27.60__strategy-brief__sg-send-wardley-maps-setup-and-mermaid-capability.md,"Wardley Maps For SG/Send And SG/Sentinel: The Setup, The Mermaid Capability, And How It Applies To Us",2026-05-24,2711,/agents/coordinates/,clean,"MAPS BECOME CODE. The [visibility, evolution] coordinate rule, the parse-error caveat, the render pipeline in prose, and the honesty test: 'Is there a map that shows us badly?'"
0,8 Mermaid maps,team/humans/dinis_cruz/briefs/05/24/sg-send-thread/v0.27.60__strategy-brief__sg-send-wardley-maps-rendered.md,SG/Send And SG/Sentinel Wardley Maps: The Maps Themselves,2026-05-24,2467,/maps/,clean,8 wardley-beta sources. NONE render as-is: bare code fences. Day-one fix. The 8 rendered PNGs live beside it in wardley-maps/.
0,W14 W15 W15b skill lifecycle,team/humans/dinis_cruz/briefs/06/04/v0.32.3__strategy-brief__sg-send-skill-lifecycle-explorer-to-town-planner-english-to-code.md,"The Lifecycle Of A Skill: From Explorer To Town Planner, From English To Code",2026-06-04,2799,/patterns/skill-lifecycle/,clean,PST APPLIED TO ARTEFACTS. Carries the corpus's most quotable line: 'Anybody who spends a lot of money on tokens has an engineering problem.' Turns a strategy framework into a cost diagnostic.
0,W10 W11 W17 W28 W29 reading maps,team/humans/dinis_cruz/briefs/06/23/wardley-maps/v0.33.33__strategy-brief__sg-send-wardley-maps-brief-user-needs-first-before-after-agent-as-user-maturity.md,"The Wardley Maps Brief: Mapping The Agent Mandate Landscape, User Needs First",2026-06-23,1834,/method/reading-maps/,clean,"The maturest map-making pass. The commodity illusion, agent-as-user, safe-is-not-secure, and paired before/after maps: 'The distance between the two is the case for the service.'"
0,8 position-table maps,team/humans/dinis_cruz/briefs/06/23/wardley-maps/v0.33.33__strategy-brief__sg-send-wardley-maps-first-pass-eight-maps-user-needs-before-after.md,The Agent Mandate Wardley Maps: A First Pass At The Eight Maps,2026-06-23,2398,/maps/,REDACT Map 8,"The most analytically dense maps in the corpus, as Component/Visibility/Today/With-our-service tables. Trivially convertible to wardley-beta. MAP 8 NAMES LIVING COMPANIES - redact or generalise."
0,the primer,team/humans/dinis_cruz/briefs/06/23/wardley-maps/v0.33.33__strategy-brief__wardley-maps-primer-what-a-wardley-map-is-in-context-of-agent-mandates.md,"A Primer: What A Wardley Map Is, In The Context Of Agent Mandates",2026-06-23,846,/learn/,clean,"The ONLY teaching document in the corpus, and only 846 words. The bottom rung of the ladder; everything above it is a cliff."
